M31 -298 0.77
NGC300 145 2.14783
M33 -182 0.847227
NGC925 554 9.28966
NGC1365 1639 18.6209
NGC2090 936 12.3027
NGC2403 132 3.17687
NGC2541 553 12.4165
M81 -43 3.63078
NGC3109 403 1.0
NGC3198 660 14.4544
M95 783 10.0462
M96 899 11.5878
NGC3621 734 6.60693
M100 1590 16.1436
NGC4414 720 19.1426
NGC4496 1738 16.0694
NGC4535 1966 15.9956
NGC4536 1866 16.5959
NGC4548 472 16.4437
NGC4639 983 25.4683
NGC4725 1207 12.5893
NGC5253 417 4.09261
M101 231 7.37904
NGC7331 819 15.0661
IC4182 326 4.69894
