#    x      y  f(x,y)
  0.00   0.00   0.71
  0.75   0.00   0.42
  1.50   0.00  -0.22
  2.25   0.00  -0.67
  3.00   0.00  -0.57
  3.75   0.00  -0.00
  4.50   0.00   0.57
  5.25   0.00   0.67
  6.00   0.00   0.22

  0.00   0.50   1.00
  0.75   0.50   0.59
  1.50   0.50  -0.31
  2.25   0.50  -0.95
  3.00   0.50  -0.81
  3.75   0.50  -0.00
  4.50   0.50   0.81
  5.25   0.50   0.95
  6.00   0.50   0.31

  0.00   1.00   0.71
  0.75   1.00   0.42
  1.50   1.00  -0.22
  2.25   1.00  -0.67
  3.00   1.00  -0.57
  3.75   1.00  -0.00
  4.50   1.00   0.57
  5.25   1.00   0.67
  6.00   1.00   0.22

  0.00   1.50   0.00
  0.75   1.50   0.00
  1.50   1.50  -0.00
  2.25   1.50  -0.00
  3.00   1.50  -0.00
  3.75   1.50  -0.00
  4.50   1.50   0.00
  5.25   1.50   0.00
  6.00   1.50   0.00

  0.00   2.00  -0.71
  0.75   2.00  -0.42
  1.50   2.00   0.22
  2.25   2.00   0.67
  3.00   2.00   0.57
  3.75   2.00   0.00
  4.50   2.00  -0.57
  5.25   2.00  -0.67
  6.00   2.00  -0.22

  0.00   2.50  -1.00
  0.75   2.50  -0.59
  1.50   2.50   0.31
  2.25   2.50   0.95
  3.00   2.50   0.81
  3.75   2.50   0.00
  4.50   2.50  -0.81
  5.25   2.50  -0.95
  6.00   2.50  -0.31

  0.00   3.00  -0.71
  0.75   3.00  -0.42
  1.50   3.00   0.22
  2.25   3.00   0.67
  3.00   3.00   0.57
  3.75   3.00   0.00
  4.50   3.00  -0.57
  5.25   3.00  -0.67
  6.00   3.00  -0.22
